batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
88,691846,3516.00000000005,MSE,20,10,10,9000,0.0015,50
89,570098,3854.99999999998,MSE,20,10,10,9000,0.0015,50
90,437200,3259.0000000001,MSE,20,10,10,9000,0.0015,50
91,167772,4019.99999999994,MSE,20,10,10,9000,0.0015,50
92,563632,3705.00000000001,MSE,20,10,10,9000,0.0015,50
93,116732,3668.00000000002,MSE,20,10,10,9000,0.0015,50
94,735435,3594.00000000004,MSE,20,10,10,9000,0.0015,50
95,351609,3229.00000000011,MSE,20,10,10,9000,0.0015,50
96,709701,3821,MSE,20,10,10,9000,0.0015,50
97,743761,3417.00000000007,MSE,20,10,10,9000,0.0015,50
98,562091,3970.99999999995,MSE,20,10,10,9000,0.0015,50
99,253954,3866.99999999999,MSE,20,10,10,9000,0.0015,50
100,553249,2945.00000000011,MSE,20,10,10,9000,0.0015,50
101,168851,3981.99999999996,MSE,20,10,10,9000,0.0015,50
102,72879,2861.00000000011,MSE,20,10,10,9000,0.0015,50
103,942849,3764,MSE,20,10,10,9000,0.0015,50
104,205608,3804.99999999999,MSE,20,10,10,9000,0.0015,50
105,331887,4084.99999999993,MSE,20,10,10,9000,0.0015,50
106,400577,3938.99999999996,MSE,20,10,10,9000,0.0015,50
107,541597,4022.99999999995,MSE,20,10,10,9000,0.0015,50
108,802948,3664.00000000003,MSE,20,10,10,9000,0.0015,50
109,502375,3992.99999999995,MSE,20,10,10,9000,0.0015,50
110,202148,3566.00000000004,MSE,20,10,10,9000,0.0015,50
111,822108,3546.00000000004,MSE,20,10,10,9000,0.0015,50
112,475255,3988.99999999995,MSE,20,10,10,9000,0.0015,50
113,984605,3963.99999999997,MSE,20,10,10,9000,0.0015,50
114,559025,3967.99999999996,MSE,20,10,10,9000,0.0015,50
115,203428,3703.00000000002,MSE,20,10,10,9000,0.0015,50
116,529096,3872.99999999997,MSE,20,10,10,9000,0.0015,50
117,83133,3881.99999999999,MSE,20,10,10,9000,0.0015,50
118,917185,3667.00000000001,MSE,20,10,10,9000,0.0015,50
119,764556,3633.00000000003,MSE,20,10,10,9000,0.0015,50
120,19482,3911.99999999996,MSE,20,10,10,9000,0.0015,50
121,503896,3609.00000000004,MSE,20,10,10,9000,0.0015,50
122,116020,3587.00000000004,MSE,20,10,10,9000,0.0015,50
123,562888,3512.00000000005,MSE,20,10,10,9000,0.0015,50
124,394075,3500.00000000006,MSE,20,10,10,9000,0.0015,50
