batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
53,658547,8934.00000000068,bulk,100,50,50,9000,0.0015,50
54,170985,8981.00000000065,bulk,100,50,50,9000,0.0015,50
55,127807,8950.0000000007,bulk,100,50,50,9000,0.0015,50
56,503380,8996.00000000063,bulk,100,50,50,9000,0.0015,50
57,960146,8990.00000000063,bulk,100,50,50,9000,0.0015,50
58,346981,8982.00000000068,bulk,100,50,50,9000,0.0015,50
59,589415,8995.00000000064,bulk,100,50,50,9000,0.0015,50
60,231573,8989.00000000065,bulk,100,50,50,9000,0.0015,50
61,753754,8993.00000000066,bulk,100,50,50,9000,0.0015,50
62,262544,8980.00000000069,bulk,100,50,50,9000,0.0015,50
63,510897,8961.00000000063,bulk,100,50,50,9000,0.0015,50
64,702085,8977.00000000063,bulk,100,50,50,9000,0.0015,50
65,891994,8968.00000000066,bulk,100,50,50,9000,0.0015,50
66,959698,8992.00000000066,bulk,100,50,50,9000,0.0015,50
67,551743,8988.00000000066,bulk,100,50,50,9000,0.0015,50
68,147238,8993.00000000066,bulk,100,50,50,9000,0.0015,50
69,157801,8956.00000000068,bulk,100,50,50,9000,0.0015,50
70,264933,8983.00000000066,bulk,100,50,50,9000,0.0015,50
71,842310,8990.00000000063,bulk,100,50,50,9000,0.0015,50
72,261739,8988.00000000064,bulk,100,50,50,9000,0.0015,50
73,816141,8965.00000000063,bulk,100,50,50,9000,0.0015,50
74,251089,8937.00000000067,bulk,100,50,50,9000,0.0015,50
75,929970,8894.00000000064,bulk,100,50,50,9000,0.0015,50
76,356483,8970.00000000067,bulk,100,50,50,9000,0.0015,50
77,204629,8947.0000000007,bulk,100,50,50,9000,0.0015,50
78,258573,8983.00000000065,bulk,100,50,50,9000,0.0015,50
79,619884,8989.00000000064,bulk,100,50,50,9000,0.0015,50
80,478555,8970.00000000062,bulk,100,50,50,9000,0.0015,50
81,358142,8981.00000000066,bulk,100,50,50,9000,0.0015,50
82,832520,8985.0000000006,bulk,100,50,50,9000,0.0015,50
83,589411,8965.00000000067,bulk,100,50,50,9000,0.0015,50
84,554226,8985.00000000064,bulk,100,50,50,9000,0.0015,50
85,918021,8960.00000000062,bulk,100,50,50,9000,0.0015,50
86,292980,8978.00000000065,bulk,100,50,50,9000,0.0015,50
87,759628,8980.00000000065,bulk,100,50,50,9000,0.0015,50
88,756191,8986.00000000064,bulk,100,50,50,9000,0.0015,50
89,386641,8976.00000000065,bulk,100,50,50,9000,0.0015,50
90,572143,8919.00000000065,bulk,100,50,50,9000,0.0015,50
91,85095,8987.00000000063,bulk,100,50,50,9000,0.0015,50
92,63410,8971.00000000064,bulk,100,50,50,9000,0.0015,50
93,535489,8988.00000000063,bulk,100,50,50,9000,0.0015,50
