batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
44,797247,4512.99999999985,MSE,100,50,50,9000,0.0015,50
45,195003,4537.99999999984,MSE,100,50,50,9000,0.0015,50
46,494866,4473.99999999986,MSE,100,50,50,9000,0.0015,50
47,451130,4515.99999999985,MSE,100,50,50,9000,0.0015,50
48,649849,4614.99999999983,MSE,100,50,50,9000,0.0015,50
49,712271,4507.99999999985,MSE,100,50,50,9000,0.0015,50
50,757139,4679.99999999981,MSE,100,50,50,9000,0.0015,50
51,283264,4560.99999999984,MSE,100,50,50,9000,0.0015,50
52,682905,4519.99999999985,MSE,100,50,50,9000,0.0015,50
53,658547,4615.99999999982,MSE,100,50,50,9000,0.0015,50
54,170985,4535.99999999984,MSE,100,50,50,9000,0.0015,50
55,127807,4571.99999999984,MSE,100,50,50,9000,0.0015,50
56,503380,4495.99999999986,MSE,100,50,50,9000,0.0015,50
57,960146,4585.99999999983,MSE,100,50,50,9000,0.0015,50
58,346981,4608.99999999983,MSE,100,50,50,9000,0.0015,50
59,589415,4628.99999999981,MSE,100,50,50,9000,0.0015,50
60,231573,4511.99999999985,MSE,100,50,50,9000,0.0015,50
61,753754,4484.99999999985,MSE,100,50,50,9000,0.0015,50
62,262544,4501.99999999985,MSE,100,50,50,9000,0.0015,50
63,510897,4635.99999999982,MSE,100,50,50,9000,0.0015,50
64,702085,4533.99999999984,MSE,100,50,50,9000,0.0015,50
65,891994,4613.99999999983,MSE,100,50,50,9000,0.0015,50
66,959698,4556.99999999985,MSE,100,50,50,9000,0.0015,50
67,551743,4517.99999999984,MSE,100,50,50,9000,0.0015,50
68,147238,4520.99999999984,MSE,100,50,50,9000,0.0015,50
69,157801,4589.99999999984,MSE,100,50,50,9000,0.0015,50
70,264933,4596.99999999983,MSE,100,50,50,9000,0.0015,50
71,842310,4575.99999999984,MSE,100,50,50,9000,0.0015,50
72,261739,4543.99999999983,MSE,100,50,50,9000,0.0015,50
73,816141,4565.99999999984,MSE,100,50,50,9000,0.0015,50
74,251089,4487.99999999985,MSE,100,50,50,9000,0.0015,50
75,929970,4450.99999999986,MSE,100,50,50,9000,0.0015,50
76,356483,4593.99999999983,MSE,100,50,50,9000,0.0015,50
77,204629,4468.99999999986,MSE,100,50,50,9000,0.0015,50
78,258573,4511.99999999985,MSE,100,50,50,9000,0.0015,50
79,619884,4626.99999999983,MSE,100,50,50,9000,0.0015,50
80,478555,4571.99999999983,MSE,100,50,50,9000,0.0015,50
81,358142,4485.99999999985,MSE,100,50,50,9000,0.0015,50
82,832520,4642.99999999981,MSE,100,50,50,9000,0.0015,50
83,589411,4506.99999999985,MSE,100,50,50,9000,0.0015,50
84,554226,4571.99999999984,MSE,100,50,50,9000,0.0015,50
